x,XSin(x)
68.5,-39.523806
68.6,-33.790182
68.7,-27.701561
68.8,-21.317884
68.9,-14.702221
69,-7.920152
69.1,-1.039113
69.2,5.872273
69.3,12.74488
69.4,19.509771
69.5,26.098888
69.6,32.445739
69.7,38.486067
69.8,44.158502
69.9,49.405182
70,54.172348
70.1,58.410886
70.2,62.076842
70.3,65.131869
70.4,67.543635
70.5,69.286157
70.6,70.340083
70.7,70.692907
70.8,70.339107
70.9,69.280228
71,67.52488
71.1,65.088676
71.2,61.994092
71.3,58.270264
71.4,53.952712
71.5,49.083005
71.6,43.708357
71.7,37.881176
71.8,31.658546
71.9,25.101673
72,18.275282
72.1,11.246978
72.2,4.086575
72.3,-3.134594
72.4,-10.344391
72.5,-17.470592
72.6,-24.441611
72.7,-31.187218
72.8,-37.63925
72.9,-43.732293
73,-49.404353
73.1,-54.59748
73.2,-59.258364
73.3,-63.33888
73.4,-66.796584
73.5,-69.595155
73.6,-71.704776
73.7,-73.102449
73.8,-73.772243
73.9,-73.705478
74,-72.900823
74.1,-71.364339
74.2,-69.109431
74.3,-66.156737
74.4,-62.533937
74.5,-58.275502
74.6,-53.422357
74.7,-48.021498
74.8,-42.12553
74.9,-35.792157
75,-29.083623
75.1,-22.06609
75.2,-14.808994
75.3,-7.384356
75.4,0.133934
75.5,7.670853
75.6,15.15099
75.7,22.499305
75.8,29.64188
75.9,36.506659
76,43.02418
76.1,49.128278
76.2,54.756751
76.3,59.851997
76.4,64.361606
76.5,68.238894
76.6,71.443386
76.7,73.941241
76.8,75.705607
76.9,76.716906
77,76.963052
77.1,76.439591
77.2,75.149762
77.3,73.104491
77.4,70.322295
77.5,66.829121
77.6,62.658102
77.7,57.849244
77.8,52.449047
77.9,46.510048
78,40.09032
78.1,33.252894
78.2,26.06515
78.3,18.598147
78.4,10.925922
78.5,3.124757
78.6,-4.727581
78.7,-12.552612
78.8,-20.271933
78.9,-27.807998
79,-35.084901
79.1,-42.029136
79.2,-48.570345
79.3,-54.642026
79.4,-60.182213
79.5,-65.134103
79.6,-69.446642
79.7,-73.075052
79.8,-75.98129
79.9,-78.134451
80,-79.511092
80.1,-80.095489
80.2,-79.87981
80.3,-78.864217
80.4,-77.056879
80.5,-74.473916
80.6,-71.139255
80.7,-67.084408
80.8,-62.348177
80.9,-56.976284
81,-51.020928
81.1,-44.540279
81.2,-37.597913
81.3,-30.262184
81.4,-22.605553
81.5,-14.703873
81.6,-6.635639
81.7,1.518798
81.8,9.678022
81.9,17.760373
82,25.68476
82.1,33.371475
82.2,40.742997
82.3,47.724769
82.4,54.245958
82.5,60.240168
82.6,65.646122
82.7,70.408279
82.8,74.477414
82.9,77.81112
83,80.37425
83.1,82.13929
83.2,83.086649
83.3,83.204876
83.4,82.490793
83.5,80.949548
83.6,78.594586
83.7,75.447527
83.8,71.537977
83.9,66.903244
84,61.587987
84.1,55.643786
84.2,49.128638
84.3,42.106399
84.4,34.646148
84.5,26.821518
84.6,18.709961
84.7,10.391989
84.8,1.950368
84.9,-6.530703
85,-14.966428
85.1,-23.272268
85.2,-31.364785
85.3,-39.16248
85.4,-46.586614
85.5,-53.562005
85.6,-60.017785
85.7,-65.888123
85.8,-71.112897
85.9,-75.638307
86,-79.417426
86.1,-82.410695
86.2,-84.586325
86.3,-85.920642
86.4,-86.398338
86.5,-86.012647
86.6,-84.76543
86.7,-82.667176
86.8,-79.73692
86.9,-76.00207
87,-71.498152
87.1,-66.268471
87.2,-60.363701
87.3,-53.841387
87.4,-46.765391
87.5,-39.205262
87.6,-31.235558
87.7,-22.935103
87.8,-14.386217
87.9,-5.673891
88,3.115051
88.1,11.892822
88.2,20.571549
88.3,29.064147
88.4,37.2852
88.5,45.151816
88.6,52.584462
88.7,59.507771
88.8,65.851305
88.9,71.550269
89,76.546177
89.1,80.787447
89.2,84.229938
89.3,86.837402
89.4,88.581872
89.5,89.443957
89.6,89.413053
89.7,88.487475
89.8,86.674487
89.9,83.990255
90,80.4597
90.1,76.116271
90.2,71.00163
90.3,65.16525
90.4,58.663938
90.5,51.561284
90.6,43.927038
90.7,35.836424
90.8,27.369402
90.9,18.609877
91,9.644864
91.1,0.563628
91.2,-8.543206
91.3,-17.584557
91.4,-26.469802
91.5,-35.109681
91.6,-43.417194
91.7,-51.308478
91.8,-58.703653
91.9,-65.527631
92,-71.710878
92.1,-77.190122
92.2,-81.909
92.3,-85.818636
92.4,-88.878151
92.5,-91.055085
92.6,-92.325742
92.7,-92.675446
92.8,-92.098709
92.9,-90.599301
