"x","y","z"
1.018085, 0.851104 , 0.851104
1.021237, 0.852755 , 0.852755
1.024389, 0.854397 , 0.854397
1.027541, 0.856031 , 0.856031
1.030693, 0.857656 , 0.857656
1.033845, 0.859272 , 0.859272
1.036997, 0.860880 , 0.860880
1.040149, 0.862480 , 0.862480
1.043301, 0.864071 , 0.864071
1.046453, 0.865653 , 0.865653
1.049605, 0.867227 , 0.867227
1.052757, 0.868792 , 0.868792
1.055909, 0.870348 , 0.870348
1.059061, 0.871896 , 0.871896
1.062213, 0.873435 , 0.873435
1.065365, 0.874966 , 0.874966
1.068517, 0.876487 , 0.876487
1.071669, 0.878001 , 0.878001
1.074821, 0.879505 , 0.879505
1.077973, 0.881000 , 0.881000
1.081125, 0.882487 , 0.882487
1.084277, 0.883965 , 0.883965
1.087429, 0.885435 , 0.885435
1.090581, 0.886895 , 0.886895
1.093733, 0.888347 , 0.888347
1.096885, 0.889790 , 0.889790
1.100036, 0.891224 , 0.891224
1.103188, 0.892649 , 0.892649
1.106340, 0.894065 , 0.894065
1.109492, 0.895473 , 0.895473
1.112644, 0.896871 , 0.896871
1.115796, 0.898261 , 0.898261
1.118948, 0.899642 , 0.899642
1.122100, 0.901013 , 0.901013
1.125252, 0.902376 , 0.902376
1.128404, 0.903730 , 0.903730
1.131556, 0.905075 , 0.905075
1.134708, 0.906411 , 0.906411
1.137860, 0.907738 , 0.907738
1.141012, 0.909056 , 0.909056
1.144164, 0.910364 , 0.910364
1.147316, 0.911664 , 0.911664
1.150468, 0.912955 , 0.912955
1.153620, 0.914237 , 0.914237
1.156772, 0.915509 , 0.915509
1.159924, 0.916773 , 0.916773
1.163076, 0.918027 , 0.918027
1.166228, 0.919272 , 0.919272
1.169380, 0.920508 , 0.920508
1.172532, 0.921735 , 0.921735
1.175684, 0.922953 , 0.922953
1.178836, 0.924162 , 0.924162
1.181988, 0.925361 , 0.925361
1.185140, 0.926552 , 0.926552
1.188292, 0.927733 , 0.927733
1.191444, 0.928905 , 0.928905
1.194595, 0.930067 , 0.930067
1.197747, 0.931220 , 0.931220
1.200899, 0.932365 , 0.932365
1.204051, 0.933499 , 0.933499
1.207203, 0.934625 , 0.934625
1.210355, 0.935741 , 0.935741
1.213507, 0.936848 , 0.936848
1.216659, 0.937946 , 0.937946
1.219811, 0.939034 , 0.939034
1.222963, 0.940114 , 0.940114
1.226115, 0.941183 , 0.941183
1.229267, 0.942244 , 0.942244
1.232419, 0.943295 , 0.943295
1.235571, 0.944336 , 0.944336
1.238723, 0.945368 , 0.945368
1.241875, 0.946391 , 0.946391
1.245027, 0.947405 , 0.947405
1.248179, 0.948409 , 0.948409
1.251331, 0.949403 , 0.949403
1.254483, 0.950389 , 0.950389
1.257635, 0.951364 , 0.951364
1.260787, 0.952331 , 0.952331
1.263939, 0.953287 , 0.953287
1.267091, 0.954235 , 0.954235
1.270243, 0.955173 , 0.955173
1.273395, 0.956101 , 0.956101
1.276547, 0.957020 , 0.957020
1.279699, 0.957929 , 0.957929
1.282851, 0.958829 , 0.958829
1.286003, 0.959720 , 0.959720
1.289155, 0.960600 , 0.960600
1.292306, 0.961472 , 0.961472
1.295458, 0.962333 , 0.962333
1.298610, 0.963186 , 0.963186
1.301762, 0.964028 , 0.964028
1.304914, 0.964861 , 0.964861
1.308066, 0.965685 , 0.965685
1.311218, 0.966498 , 0.966498
1.314370, 0.967303 , 0.967303
1.317522, 0.968097 , 0.968097
1.320674, 0.968882 , 0.968882
1.323826, 0.969658 , 0.969658
1.326978, 0.970423 , 0.970423
1.330130, 0.971179 , 0.971179
1.333282, 0.971926 , 0.971926
1.336434, 0.972663 , 0.972663
1.339586, 0.973390 , 0.973390
1.342738, 0.974107 , 0.974107
1.345890, 0.974815 , 0.974815
1.349042, 0.975513 , 0.975513
1.352194, 0.976201 , 0.976201
1.355346, 0.976880 , 0.976880
1.358498, 0.977549 , 0.977549
1.361650, 0.978208 , 0.978208
1.364802, 0.978858 , 0.978858
1.367954, 0.979498 , 0.979498
1.371106, 0.980128 , 0.980128
1.374258, 0.980748 , 0.980748
1.377410, 0.981359 , 0.981359
1.380562, 0.981960 , 0.981960
1.383714, 0.982551 , 0.982551
1.386865, 0.983132 , 0.983132
1.390017, 0.983704 , 0.983704
1.393169, 0.984266 , 0.984266
1.396321, 0.984818 , 0.984818
1.399473, 0.985360 , 0.985360
1.402625, 0.985893 , 0.985893
1.405777, 0.986415 , 0.986415
1.408929, 0.986928 , 0.986928
1.412081, 0.987431 , 0.987431
1.415233, 0.987924 , 0.987924
1.418385, 0.988408 , 0.988408
1.421537, 0.988882 , 0.988882
1.424689, 0.989345 , 0.989345
1.427841, 0.989799 , 0.989799
1.430993, 0.990243 , 0.990243
1.434145, 0.990678 , 0.990678
1.437297, 0.991102 , 0.991102
1.440449, 0.991517 , 0.991517
1.443601, 0.991922 , 0.991922
1.446753, 0.992316 , 0.992316
1.449905, 0.992702 , 0.992702
1.453057, 0.993077 , 0.993077
